user1,user2,similarity
88344,170112,1.0
127960,195168,1.0
13012,56180,1.0
313668,325068,1.0
51160,62784,1.0
14186,249611,1.0
169493,313668,1.0
169493,325068,1.0
186581,261572,1.0
92534,234310,1.0
9706,47690,1.0
47942,77318,1.0
47942,162798,1.0
77318,162798,1.0
184938,299674,1.0
12125,97685,1.0
59869,63309,1.0
23527,313463,1.0
81265,291625,1.0
141201,222025,1.0
125829,163485,1.0
123530,161017,1.0
168141,286014,0.984375
77647,86967,0.98046875
39826,263971,0.98046875
13918,71302,0.97265625
137715,138579,0.96875
248461,256733,0.96875
23867,87155,0.96875
260734,262614,0.96875
248461,292389,0.96484375
17906,80058,0.96484375
181762,248242,0.96484375
187157,266708,0.9609375
250852,266708,0.9609375
99030,115422,0.9609375
13195,49651,0.95703125
124266,159313,0.95703125
267144,305904,0.953125
181955,183123,0.94921875
10783,40479,0.94921875
136037,198214,0.94921875
49138,67802,0.94921875
59869,117141,0.9453125
63309,117141,0.9453125
77460,177837,0.9453125
92372,245387,0.9453125
226638,230806,0.9453125
115108,132844,0.94140625
61465,291625,0.9375
61465,81265,0.9375
77647,174815,0.9375
119572,172316,0.9375
298366,309198,0.9375
256733,292389,0.93359375
89343,95175,0.93359375
23867,38643,0.93359375
153073,228017,0.93359375
134981,277862,0.93359375
227884,236540,0.93359375
58500,234132,0.93359375
234310,309198,0.93359375
92534,309198,0.93359375
248242,308490,0.93359375
85653,124541,0.9296875
164677,292350,0.9296875
266708,293036,0.9296875
161970,187194,0.9296875
147443,202171,0.92578125
220645,248461,0.92578125
249077,266741,0.92578125
86856,88344,0.92578125
86856,170112,0.92578125
285976,324016,0.92578125
68284,257340,0.92578125
49138,263035,0.92578125
248242,313610,0.92578125
187157,250852,0.921875
29052,198820,0.921875
68852,306628,0.921875
19288,233568,0.921875
219326,230134,0.921875
202698,248242,0.921875
81745,290377,0.91796875
86967,174815,0.91796875
134061,263838,0.91796875
144788,169860,0.91796875
82321,273017,0.9140625
81527,194527,0.9140625
13195,26771,0.9140625
140841,242505,0.9140625
134061,168141,0.9140625
70628,257340,0.9140625
147898,159313,0.9140625
87326,230134,0.9140625
308490,313610,0.9140625
198381,293036,0.91015625
81265,83065,0.91015625
83065,291625,0.91015625
261129,272313,0.91015625
